node_id1 node_id2 t label
50381 14578 7 Authoring
50382 14578 7 Authoring
17004 14578 7 Authoring
19608 14578 7 Authoring
50385 14578 7 Authoring
50386 14579 7 Authoring
48019 14579 7 Authoring
19710 14580 7 Authoring
17004 14580 7 Authoring
50390 14580 7 Authoring
20071 14581 7 Authoring
50392 14581 7 Authoring
50393 14581 7 Authoring
19208 14581 7 Authoring
20533 14582 7 Authoring
20536 14582 7 Authoring
19368 14582 7 Authoring
50398 14583 7 Authoring
19662 14583 7 Authoring
50400 14584 7 Authoring
50401 14584 7 Authoring
19919 14585 7 Authoring
50403 14585 7 Authoring
19920 14585 7 Authoring
50405 14585 7 Authoring
50406 14585 7 Authoring
50407 14586 7 Authoring
49735 14586 7 Authoring
50409 14587 7 Authoring
16874 14588 7 Authoring
20750 14588 7 Authoring
50412 14589 7 Authoring
19238 14589 7 Authoring
50414 14589 7 Authoring
50415 14589 7 Authoring
50416 14590 7 Authoring
50417 14590 7 Authoring
50418 14591 7 Authoring
19219 14591 7 Authoring
50420 14591 7 Authoring
50421 14591 7 Authoring
19218 14591 7 Authoring
19216 14591 7 Authoring
20048 14591 7 Authoring
19329 14592 7 Authoring
19327 14592 7 Authoring
19219 14592 7 Authoring
19218 14592 7 Authoring
20048 14592 7 Authoring
50430 14593 7 Authoring
17019 14593 7 Authoring
19270 14593 7 Authoring
50433 14594 7 Authoring
19269 14594 7 Authoring
17019 14594 7 Authoring
17013 14599 7 Authoring
19625 14599 7 Authoring
17013 14600 7 Authoring
19625 14600 7 Authoring
49732 14389 8 Authoring
19306 14389 8 Authoring
49734 14389 8 Authoring
49735 14389 8 Authoring
49736 14390 8 Authoring
20539 14390 8 Authoring
19148 14390 8 Authoring
49739 14390 8 Authoring
20314 14390 8 Authoring
49741 14391 8 Authoring
49742 14391 8 Authoring
16908 14391 8 Authoring
49744 14391 8 Authoring
49745 14392 8 Authoring
49746 14392 8 Authoring
49747 14392 8 Authoring
49748 14392 8 Authoring
49749 14393 8 Authoring
16908 14393 8 Authoring
49751 14394 8 Authoring
49749 14394 8 Authoring
16908 14394 8 Authoring
49754 14395 8 Authoring
49755 14395 8 Authoring
49756 14396 8 Authoring
49757 14396 8 Authoring
49758 14397 8 Authoring
16908 14397 8 Authoring
49760 14397 8 Authoring
19360 14398 8 Authoring
20591 14398 8 Authoring
19302 14398 8 Authoring
20598 14398 8 Authoring
49765 14399 8 Authoring
49766 14399 8 Authoring
20176 14400 8 Authoring
49768 14400 8 Authoring
19569 14400 8 Authoring
49770 14401 8 Authoring
19306 14401 8 Authoring
49772 14401 8 Authoring
49773 14402 8 Authoring
49774 14402 8 Authoring
49775 14403 8 Authoring
49776 14403 8 Authoring
49777 14403 8 Authoring
49778 14404 8 Authoring
19197 14404 8 Authoring
17013 14404 8 Authoring
49781 14405 8 Authoring
49766 14405 8 Authoring
49783 14405 8 Authoring
49784 14406 8 Authoring
49785 14406 8 Authoring
19327 14407 8 Authoring
49787 14407 8 Authoring
19329 14407 8 Authoring
19219 14407 8 Authoring
19218 14407 8 Authoring
20048 14407 8 Authoring
49792 14407 8 Authoring
49793 14407 8 Authoring
49794 14408 8 Authoring
17013 14408 8 Authoring
19119 14408 8 Authoring
17003 14408 8 Authoring
49798 14409 8 Authoring
49799 14409 8 Authoring
19919 14409 8 Authoring
19920 14409 8 Authoring
19576 14410 8 Authoring
49803 14410 8 Authoring
19578 14410 8 Authoring
49805 14410 8 Authoring
49806 14410 8 Authoring
20555 14411 8 Authoring
20556 14411 8 Authoring
49809 14412 8 Authoring
19989 14412 8 Authoring
49811 14413 8 Authoring
19670 14413 8 Authoring
49813 14413 8 Authoring
49814 14413 8 Authoring
49815 14413 8 Authoring
49816 14414 8 Authoring
49817 14414 8 Authoring
49818 14414 8 Authoring
49819 14414 8 Authoring
49820 14414 8 Authoring
49821 14415 8 Authoring
19310 14415 8 Authoring
49823 14415 8 Authoring
19310 14416 8 Authoring
49825 14417 8 Authoring
19265 14417 8 Authoring
49827 14418 8 Authoring
49828 14418 8 Authoring
49829 14418 8 Authoring
49830 14419 8 Authoring
49831 14419 8 Authoring
49832 14419 8 Authoring
49833 14419 8 Authoring
49834 14420 8 Authoring
49835 14420 8 Authoring
20789 14420 8 Authoring
49837 14420 8 Authoring
49838 14421 8 Authoring
49766 14421 8 Authoring
17030 14421 8 Authoring
49841 14422 8 Authoring
49842 14422 8 Authoring
19177 14422 8 Authoring
49844 14422 8 Authoring
19178 14422 8 Authoring
49846 14422 8 Authoring
19625 14422 8 Authoring
19117 14422 8 Authoring
49849 14423 8 Authoring
49850 14423 8 Authoring
49851 14423 8 Authoring
49852 14423 8 Authoring
49853 14424 8 Authoring
49854 14424 8 Authoring
20742 14424 8 Authoring
20328 14424 8 Authoring
49857 14425 8 Authoring
49858 14425 8 Authoring
49859 14425 8 Authoring
19165 14425 8 Authoring
49861 14426 8 Authoring
49862 14426 8 Authoring
49863 14426 8 Authoring
49864 14426 8 Authoring
19165 14426 8 Authoring
49866 14427 8 Authoring
49867 14427 8 Authoring
49868 14427 8 Authoring
49869 14428 8 Authoring
49870 14428 8 Authoring
19628 14428 8 Authoring
20771 14428 8 Authoring
49873 14429 8 Authoring
49874 14429 8 Authoring
19285 14430 8 Authoring
49876 14430 8 Authoring
49873 14430 8 Authoring
49873 14431 8 Authoring
49879 14432 8 Authoring
19162 14432 8 Authoring
49881 14432 8 Authoring
49882 14433 8 Authoring
49883 14433 8 Authoring
16829 14433 8 Authoring
49885 14433 8 Authoring
19221 14433 8 Authoring
49887 14434 8 Authoring
49873 14434 8 Authoring
19625 14435 8 Authoring
19117 14435 8 Authoring
19181 14435 8 Authoring
49892 14435 8 Authoring
49893 14435 8 Authoring
19205 14435 8 Authoring
49895 14435 8 Authoring
49896 14435 8 Authoring
19262 14436 8 Authoring
19264 14436 8 Authoring
49899 14436 8 Authoring
49900 14437 8 Authoring
49901 14437 8 Authoring
49902 14438 8 Authoring
49903 14438 8 Authoring
49904 14438 8 Authoring
49905 14438 8 Authoring
19576 14439 8 Authoring
19165 14439 8 Authoring
49908 14439 8 Authoring
49832 14439 8 Authoring
19138 14439 8 Authoring
49803 14439 8 Authoring
49912 14439 8 Authoring
49913 14439 8 Authoring
49858 14439 8 Authoring
49915 14439 8 Authoring
49916 14439 8 Authoring
49917 14439 8 Authoring
49857 14439 8 Authoring
49760 14439 8 Authoring
19185 14440 8 Authoring
49921 14440 8 Authoring
49922 14440 8 Authoring
49923 14440 8 Authoring
49924 14440 8 Authoring
49925 14441 8 Authoring
49926 14441 8 Authoring
49927 14442 8 Authoring
19663 14443 8 Authoring
19662 14443 8 Authoring
49859 14444 8 Authoring
19309 14444 8 Authoring
49932 14444 8 Authoring
16908 14444 8 Authoring
49934 14445 8 Authoring
49935 14445 8 Authoring
16994 14445 8 Authoring
20328 14445 8 Authoring
49938 14446 8 Authoring
19576 14446 8 Authoring
19310 14446 8 Authoring
